2016-10-04 22:28:35,454 pl.lodz.pl.concurrency.zad1.App INFO  - Starting program ! Left border: 0 Right border: 99Lower numbers set capacity : 40
2016-10-04 22:28:35,466 pl.lodz.pl.concurrency.zad1.App INFO  - All numbers :[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
2016-10-04 22:28:35,466 pl.lodz.pl.concurrency.zad1.App INFO  - Lower numbers :[23, 1, 15, 16, 89, 87, 8, 70, 93, 53, 81, 86, 41, 57, 97, 78, 96, 42, 7, 79, 43, 11, 5, 27, 71, 47, 84, 68, 98, 39, 32, 35, 82, 13, 22, 91, 3, 90, 95, 17] Amount : 40
2016-10-04 22:28:35,469 pl.lodz.pl.concurrency.zad1.App INFO  - High numbers :[28, 18, 21, 44, 56, 77, 61, 25, 24, 74, 72, 0, 20, 58, 75, 33, 59, 92, 30, 45, 94, 99, 34, 73, 88, 48, 9, 54, 62, 31, 49, 65, 6, 29, 55, 85, 19, 2, 37, 46, 10, 40, 69, 76, 4, 26, 66, 36, 67, 64, 50, 80, 51, 83, 63, 12, 60, 52, 14, 38] Amount : 60
2016-10-04 22:28:35,488 pl.lodz.pl.concurrency.zad1.LowerSet INFO  - SEMAPHORE ACQUIRED
2016-10-04 22:28:35,488 pl.lodz.pl.concurrency.zad1.Semaphore INFO  - SEMAPHORE WAITING
2016-10-04 22:28:35,489 pl.lodz.pl.concurrency.zad1.LowerSet INFO  - ADDING HIGHEST NUMBER TO HIGHERSET
2016-10-04 22:28:35,489 pl.lodz.pl.concurrency.zad1.Semaphore INFO  - SEMAPHORE WAITING
2016-10-04 22:28:35,489 pl.lodz.pl.concurrency.zad1.LowerSet INFO  - SEMAPHORE RELEASED
2016-10-04 22:28:35,490 pl.lodz.pl.concurrency.zad1.HighSet INFO  - SEMAPHORE ACQUIRED
2016-10-04 22:28:35,490 pl.lodz.pl.concurrency.zad1.HighSet INFO  - ADDING LOWEST NUMBER TO LOWERSET
2016-10-04 22:28:35,490 pl.lodz.pl.concurrency.zad1.Semaphore INFO  - SEMAPHORE WAITING
2016-10-04 22:28:35,490 pl.lodz.pl.concurrency.zad1.HighSet INFO  - SEMAPHORE RELEASED
2016-10-04 22:28:35,491 pl.lodz.pl.concurrency.zad1.LowerSet INFO  - SEMAPHORE ACQUIRED
2016-10-04 22:28:35,491 pl.lodz.pl.concurrency.zad1.LowerSet INFO  - ADDING HIGHEST NUMBER TO HIGHERSET
2016-10-04 22:28:35,491 pl.lodz.pl.concurrency.zad1.Semaphore INFO  - SEMAPHORE WAITING
